user,name,email,phone_num,team_state,study_state,intro
고경서,고경서,eYMhvoVXAh@likelion.org,010-9427-3254,0,0,
김완수,김완수,uyanCJYQmA@likelion.org,010-4580-6150,0,0,
이선화,이선화,eEuLjhwhwE@likelion.org,010-2686-6905,0,0,
김민수,김민수,klLjxKqQZq@likelion.org,010-1048-7056,0,0,
박소연,박소연,qmWnOmLxon@likelion.org,010-3588-5092,0,0,
권세린,권세린,hFJpNiZNMU@likelion.org,010-7368-3883,0,0,
최지은,최지은,ocokGLhfLw@likelion.org,010-8952-1459,0,0,
최정화,최정화,KCJDJFtWle@likelion.org,010-3562-8230,0,0,
최경주,최경주,jQKLCSRIiD@likelion.org,010-2546-2316,0,0,
이연진,이연진,TiQJlZrxne@likelion.org,010-9833-3139,0,0,
권제원,권제원,AmeudQyoaw@likelion.org,010-8837-9518,0,0,
유지혜,유지혜,PKzcCLCLaZ@likelion.org,010-6706-5966,0,0,
이두형,이두형,rvCRvxHarx@likelion.org,010-2789-5121,0,0,
정세영,정세영,KHTwuRVbGB@likelion.org,010-3484-4456,0,0,
황아현,황아현,jlTgzVDpmY@likelion.org,010-3938-7131,0,0,
김서현,김서현,EoOwHtDYFx@likelion.org,010-5899-5281,0,0,
장다연,장다연,MCDfyUAjdp@likelion.org,010-2597-6739,0,0,
최웅철,최웅철,NwcndkfBod@likelion.org,010-3526-5764,0,0,
김경아,김경아,eACOwcQcZF@likelion.org,010-4934-1785,0,0,
박지혜,박지혜,GRHsVIKuVP@likelion.org,010-1222-7264,0,0,
김혜란,김혜란,nycmdOyzDz@likelion.org,010-5123-7875,0,0,
김보경,김보경,XSfKMVEVTg@likelion.org,010-2516-1055,0,0,
김지연,김지연,DlXsKliRhE@likelion.org,010-7978-7179,0,0,
윤다형,윤다형,sXnKKRLgUs@likelion.org,010-6211-7371,0,0,
윤동주,윤동주,tLbFvrgKRb@likelion.org,010-9966-1772,0,0,
흑화당,흑화당,mNWWUDALZQ@likelion.org,010-1206-8279,0,0,
박종영,박종영,EDjXtbpVhq@likelion.org,010-8207-1743,0,0,
김광규,김광규,KTybHtkKcl@likelion.org,010-5184-3866,0,0,
김규리,김규리,dsAvjDOyXq@likelion.org,010-8535-4016,0,0,
이민선,이민선,UmdxZCUUjW@likelion.org,010-3988-6123,0,0,
이수진,이수진,cvqckqnIGN@likelion.org,010-9918-5772,0,0,
